"","species","higher_taxon","trap","date"
"57","112","Silvanidae","Na","11/25/05"
"58","112","Silvanidae","Na","11/4/05"
"59","112","Silvanidae","Na","12/2/05"
"60","112","Silvanidae","Na","12/2/05"
"61","112","Silvanidae","Na","12/2/05"
"62","112","Silvanidae","Na","12/2/05"
"63","112","Silvanidae","Na","12/2/05"
"64","112","Silvanidae","Na_F","5/10/05"
"65","112","Silvanidae","Na_F","5/17/05"
"66","112","Silvanidae","Na_F","11/17/05"
"67","112","Silvanidae","Na_F","11/24/05"
"68","113","Latridiidae","Control","3/31/05"
"69","113","Latridiidae","Control","4/19/05"
"70","113","Latridiidae","Control","4/5/05"
"71","113","Latridiidae","Control","5/18/05"
"72","113","Latridiidae","Hg","3/16/05"
"73","113","Latridiidae","Hg","5/17/05"
"74","113","Latridiidae","Hg","5/18/05"
"75","113","Latridiidae","Na","3/29/05"
"76","113","Latridiidae","Na","3/29/05"
"77","113","Latridiidae","Na","3/29/05"
"78","113","Latridiidae","Na","4/12/05"
"79","113","Latridiidae","Na","4/19/05"
"80","113","Latridiidae","Na","4/20/05"
"81","113","Latridiidae","Na","4/5/05"
"82","113","Latridiidae","Na","4/6/05"
"83","113","Latridiidae","Na","4/6/05"
"84","113","Latridiidae","Na","4/6/05"
"85","113","Latridiidae","Na","4/6/05"
"86","113","Latridiidae","Na","4/6/05"
"87","113","Latridiidae","Na","5/10/05"
"88","113","Latridiidae","Na","5/10/05"
"89","113","Latridiidae","Na","5/13/05"
"90","113","Latridiidae","Na","5/13/05"
"91","113","Latridiidae","Na","11/25/05"
"92","113","Latridiidae","Na","11/25/05"
"93","113","Latridiidae","Na_F","4/20/05"
"94","113","Latridiidae","Na_F","5/4/05"
"95","113","Latridiidae","Na_F","11/18/05"
"96","113","Latridiidae","Control","11/22/05"
"97","114","Monotomidae","Hg","3/24/05"
"98","114","Monotomidae","Hg","4/13/05"
"99","114","Monotomidae","Hg","5/18/05"
"100","115","Monotomidae","Hg","3/16/05"
"101","115","Monotomidae","Hg","4/20/05"
"102","115","Monotomidae","Hg","4/6/05"
"103","115","Monotomidae","Hg","11/22/05"
"104","115","Monotomidae","Hg","11/25/05"
"105","115","Monotomidae","Na","11/25/05"
"106","115","Monotomidae","Control","11/29/05"
"107","115","Monotomidae","Control","12/1/05"
"108","116","Monotomidae","Control","4/13/05"
"109","116","Monotomidae","Hg","10/28/05"
"110","116","Monotomidae","Hg","10/28/05"
"111","116","Monotomidae","Hg","11/12/05"
"112","116","Monotomidae","Hg","11/12/05"
"113","116","Monotomidae","Hg","11/12/05"
"114","116","Monotomidae","Hg","11/18/05"
"115","116","Monotomidae","Hg","11/22/05"
"116","116","Monotomidae","Hg","11/22/05"
"117","116","Monotomidae","Hg","11/25/05"
"118","116","Monotomidae","Hg","11/25/05"
"119","116","Monotomidae","Hg","11/29/05"
"120","116","Monotomidae","Hg","11/29/05"
"121","116","Monotomidae","Hg","11/4/05"
"122","116","Monotomidae","Hg","11/4/05"
"123","116","Monotomidae","Na","11/17/05"
"124","116","Monotomidae","Na","11/4/05"
"125","116","Monotomidae","Na_F","11/22/05"
"126","116","Monotomidae","Na_F","11/24/05"
"127","116","Monotomidae","Na_F","11/4/05"
"128","117","Erotylidae","Na","4/19/05"
"129","117","Erotylidae","Na","4/19/05"
"130","117","Erotylidae","Na","5/10/05"
"131","117","Erotylidae","Na","5/10/05"
"132","117","Erotylidae","Na","5/10/05"
"133","117","Erotylidae","Na","5/10/05"
"134","117","Erotylidae","Na","5/10/05"
"135","117","Erotylidae","Na","5/10/05"
"136","117","Erotylidae","Na","5/11/05"
"137","117","Erotylidae","Na","5/11/05"
"138","117","Erotylidae","Na","5/13/05"
"139","117","Erotylidae","Na","5/13/05"
"140","117","Erotylidae","Na","5/18/05"
"141","117","Erotylidae","Na","5/3/05"
"142","117","Erotylidae","Na","5/4/05"
"143","117","Erotylidae","Na","6/7/05"
"144","117","Erotylidae","Na_F","5/11/05"
"145","117","Erotylidae","Na_F","5/11/05"
"146","117","Erotylidae","Na_F","5/13/05"
"147","118","Ptinidae","Hg","3/24/05"
"148","118","Ptinidae","Na","3/23/05"
"149","118","Ptinidae","Na","11/25/05"
"150","119","Anthribidae","Control","5/18/05"
"151","12","Staphylinidae","Hg","3/18/05"
"152","120","Brentidae","Hg","4/13/05"
"153","120","Brentidae","Na","3/29/05"
"154","121","Mordellidae","Na","3/18/05"
"155","122","Zopheridae","Hg","6/1/05"
"156","123","Aderidae","Hg","4/12/05"
"157","124","Mycetophagidae","Hg","5/6/05"
"158","124","Mycetophagidae","Hg","11/17/05"
"159","124","Mycetophagidae","Hg","11/24/05"
"160","124","Mycetophagidae","Hg","11/25/05"
"161","124","Mycetophagidae","Na","11/17/05"
"162","124","Mycetophagidae","Na","11/24/05"
"163","124","Mycetophagidae","Na","11/25/05"
"164","124","Mycetophagidae","Na_F","11/24/05"
"165","124","Mycetophagidae","Na_F","11/25/05"
"166","125","Dermestidae","Hg","3/23/05"
"167","126","Aderidae","Na_F","11/8/05"
"168","126","Anthicidae","Hg","4/13/05"
"169","127","Coccinellidae","Hg","5/13/05"
"170","128","Cantharidae","Na","4/20/05"
"171","129","Leiodidae","Hg","3/16/05"
"172","129","Leiodidae","Hg","11/29/05"
"173","13","Staphylinidae","Hg","3/18/05"
"174","130","Scarabaeidae","Hg","4/12/05"
"175","130","Scarabaeidae","Hg","4/12/05"
"176","130","Scarabaeidae","Hg","4/13/05"
"177","130","Scarabaeidae","Hg","11/24/05"
"178","130","Scarabaeidae","Hg","12/1/05"
"179","130","Scarabaeidae","Na","11/25/05"
"180","131","Ciidae","Hg","3/24/05"
"181","132","Erotylidae","Na","5/11/05"
"182","133","Phalacridae","Hg","3/23/05"
"183","133","Phalacridae","Hg","10/28/05"
"184","133","Phalacridae","Hg","11/24/05"
"185","134","Phalacridae","Na","3/23/05"
"186","135","Bothrideridae","Hg","3/29/05"
"187","136","Bothrideridae","Hg","4/13/05"
"188","136","Bothrideridae","Na_F","4/12/05"
"189","136","Bothrideridae","Control","11/22/05"
"190","137","Cryptophagidae","Control","4/13/05"
"191","137","Cryptophagidae","Control","4/13/05"
"192","137","Cryptophagidae","Control","4/13/05"
"193","137","Cryptophagidae","Control","4/20/05"
"194","137","Cryptophagidae","Control","5/10/05"
"195","137","Cryptophagidae","Control","5/11/05"
"196","137","Cryptophagidae","Control","5/11/05"
"197","137","Cryptophagidae","Control","5/17/05"
"198","137","Cryptophagidae","Control","5/17/05"
"199","137","Cryptophagidae","Control","5/17/05"
"200","137","Cryptophagidae","Control","5/18/05"
"201","137","Cryptophagidae","Control","5/18/05"
"202","137","Cryptophagidae","Hg","5/13/05"
"203","137","Cryptophagidae","Hg","5/13/05"
"204","137","Cryptophagidae","Hg","5/13/05"
"205","137","Cryptophagidae","Hg","5/17/05"
"206","137","Cryptophagidae","Hg","5/6/05"
"207","137","Cryptophagidae","Hg","6/7/05"
"208","137","Cryptophagidae","Hg","11/11/05"
"209","137","Cryptophagidae","Hg","11/11/05"
"210","137","Cryptophagidae","Hg","11/17/05"
"211","137","Cryptophagidae","Hg","11/17/05"
"212","137","Cryptophagidae","Hg","11/17/05"
"213","137","Cryptophagidae","Hg","11/17/05"
"214","137","Cryptophagidae","Hg","11/18/05"
"215","137","Cryptophagidae","Hg","11/22/05"
"216","137","Cryptophagidae","Hg","11/22/05"
"217","137","Cryptophagidae","Hg","11/22/05"
"218","137","Cryptophagidae","Hg","11/25/05"
"219","137","Cryptophagidae","Hg","11/25/05"
"220","137","Cryptophagidae","Hg","11/25/05"
"221","137","Cryptophagidae","Hg","11/25/05"
"222","137","Cryptophagidae","Hg","11/25/05"
"223","137","Cryptophagidae","Hg","11/29/05"
"224","137","Cryptophagidae","Hg","11/29/05"
"225","137","Cryptophagidae","Hg","11/29/05"
"226","137","Cryptophagidae","Hg","11/29/05"
"227","137","Cryptophagidae","Hg","11/29/05"
"228","137","Cryptophagidae","Hg","11/4/05"
"229","137","Cryptophagidae","Hg","11/8/05"
"230","137","Cryptophagidae","Hg","11/8/05"
"231","137","Cryptophagidae","Hg","11/8/05"
"232","137","Cryptophagidae","Hg","12/1/05"
"233","137","Cryptophagidae","Hg","12/1/05"
"234","137","Cryptophagidae","Hg","12/1/05"
"235","137","Cryptophagidae","Na","3/24/05"
"236","137","Cryptophagidae","Na","5/10/05"
"237","137","Cryptophagidae","Na","5/11/05"
"238","137","Cryptophagidae","Na","5/13/05"
"239","137","Cryptophagidae","Na","5/13/05"
"240","137","Cryptophagidae","Na","5/13/05"
"241","137","Cryptophagidae","Na","5/17/05"
"242","137","Cryptophagidae","Na","5/17/05"
"243","137","Cryptophagidae","Na","5/6/05"
"244","137","Cryptophagidae","Na","5/6/05"
"245","137","Cryptophagidae","Na","6/7/05"
"246","137","Cryptophagidae","Na","11/11/05"
"247","137","Cryptophagidae","Na","11/24/05"
"248","137","Cryptophagidae","Na","12/1/05"
"249","137","Cryptophagidae","Na_F","4/12/05"
"250","137","Cryptophagidae","Na_F","5/13/05"
"251","137","Cryptophagidae","Na_F","5/17/05"
"252","137","Cryptophagidae","Na_F","5/17/05"
"253","137","Cryptophagidae","Na_F","5/18/05"
"254","137","Cryptophagidae","Na_F","5/6/05"
"255","137","Cryptophagidae","Na_F","5/6/05"
"256","137","Cryptophagidae","Na_F","11/17/05"
"257","137","Cryptophagidae","Na_F","11/17/05"
"258","137","Cryptophagidae","Na_F","11/18/05"
"259","137","Cryptophagidae","Na_F","11/24/05"
"260","137","Cryptophagidae","Na_F","11/25/05"
"261","137","Cryptophagidae","Na_F","11/25/05"
"262","137","Cryptophagidae","Na_F","11/25/05"
"263","137","Cryptophagidae","Na_F","11/25/05"
"264","137","Cryptophagidae","Na_F","11/25/05"
"265","137","Cryptophagidae","Na_F","11/29/05"
"266","137","Cryptophagidae","Na_F","12/1/05"
"267","137","Cryptophagidae","Na_F","12/1/05"
"268","137","Cryptophagidae","Na_F","12/1/05"
"269","137","Cryptophagidae","Na_F","12/2/05"
"270","137","Cryptophagidae","Na_F","12/2/05"
"271","137","Cryptophagidae","Na_F","12/2/05"
"272","137","Cryptophagidae","Control","11/24/05"
"273","137","Cryptophagidae","Control","11/24/05"
"274","137","Cryptophagidae","Control","12/1/05"
"275","137","Cryptophagidae","Control","12/2/05"
"276","138","Cryptophagidae","Hg","3/29/05"
"277","138","Cryptophagidae","Hg","4/13/05"
"278","138","Cryptophagidae","Hg","5/6/05"
"279","138","Cryptophagidae","Na","4/13/05"
"280","139","Cryptophagidae","Na","4/13/05"
"281","14","Staphylinidae","Hg","3/16/05"
"282","14","Staphylinidae","Hg","3/16/05"
"283","14","Staphylinidae","Hg","3/18/05"
"284","14","Staphylinidae","Hg","3/24/05"
"285","14","Staphylinidae","Hg","4/13/05"
"286","14","Staphylinidae","Hg","5/13/05"
"287","14","Staphylinidae","Na","3/16/05"
"288","14","Staphylinidae","Na","3/16/05"
"289","14","Staphylinidae","Na","3/24/05"
"290","14","Staphylinidae","Na","3/24/05"
"291","14","Staphylinidae","Na","4/12/05"
"292","14","Staphylinidae","Na","4/13/05"
"293","14","Staphylinidae","Na","4/13/05"
"294","14","Staphylinidae","Na","4/13/05"
"295","14","Staphylinidae","Na","4/19/05"
"296","14","Staphylinidae","Na","4/19/05"
"297","14","Staphylinidae","Na","4/6/05"
"298","14","Staphylinidae","Na","5/13/05"
"299","140","Cryptophagidae","Hg","3/18/05"
"300","140","Cryptophagidae","Hg","4/13/05"
"301","140","Cryptophagidae","Hg","4/13/05"
"302","140","Cryptophagidae","Hg","4/13/05"
"303","140","Cryptophagidae","Hg","4/19/05"
"304","140","Cryptophagidae","Hg","10/28/05"
"305","140","Cryptophagidae","Na","3/18/05"
"306","140","Cryptophagidae","Na","4/13/05"
"307","140","Cryptophagidae","Na","4/13/05"
"308","140","Cryptophagidae","Na","4/13/05"
"309","140","Cryptophagidae","Na","4/13/05"
"310","140","Cryptophagidae","Na","4/13/05"
"311","140","Cryptophagidae","Na","5/17/05"
"312","140","Cryptophagidae","Na","10/28/05"
"313","140","Cryptophagidae","Na","11/25/05"
"314","140","Cryptophagidae","Na","11/25/05"
"315","140","Cryptophagidae","Na","11/25/05"
"316","140","Cryptophagidae","Na","11/29/05"
"317","142","Nitidulidae","Hg","4/13/05"
"318","143","Nitidulidae","Hg","3/23/05"
"319","144","Nitidulidae","Hg","6/1/05"
"320","144","Nitidulidae","Hg","11/12/05"
"321","144","Nitidulidae","Hg","11/24/05"
"322","144","Nitidulidae","Na","11/22/05"
"323","144","Nitidulidae","Na","11/22/05"
"324","144","Nitidulidae","Na_F","11/17/05"
"325","145","Nitidulidae","Hg","4/6/05"
"326","146","Laemophloeidae","Hg","4/6/05"
"327","146","Laemophloeidae","Hg","11/17/05"
"328","146","Laemophloeidae","Na_F","12/2/05"
"329","146","Laemophloeidae","Control","12/2/05"
"330","147","Laemophloeidae","Hg","4/13/05"
"331","147","Laemophloeidae","Na","12/2/05"
"332","148","Laemophloeidae","Control","4/12/05"
"333","148","Laemophloeidae","Control","5/11/05"
"334","149","Ptilodactylidae","Hg","12/2/05"
"335","149","Ptilodactylidae","Na","5/13/05"
"336","149","Ptilodactylidae","Na","5/18/05"
"337","149","Ptilodactylidae","Na_F","11/12/05"
"338","149","Ptilodactylidae","Na_F","11/24/05"
"339","149","Ptilodactylidae","Na_F","11/8/05"
"340","15","Staphylinidae","Hg","3/18/05"
"341","15","Staphylinidae","Hg","3/18/05"
"342","15","Staphylinidae","Hg","3/31/05"
"343","15","Staphylinidae","Hg","12/2/05"
"344","150","Ptilodactylidae","Na","5/13/05"
"345","151","Ptilodactylidae","Control","3/31/05"
"346","151","Ptilodactylidae","Na","11/25/05"
"347","152","Ptilodactylidae","Hg","3/24/05"
"348","153","Corylophidae","Na","5/17/05"
"349","153","Corylophidae","Na_F","5/13/05"
"350","154","Corylophidae","Na_F","3/16/05"
"351","155","Ptiliidae","Hg","3/24/05"
"352","155","Ptiliidae","Hg","3/24/05"
"353","155","Ptiliidae","Hg","4/12/05"
"354","155","Ptiliidae","Hg","4/13/05"
"355","155","Ptiliidae","Hg","4/19/05"
"356","155","Ptiliidae","Hg","4/19/05"
"357","155","Ptiliidae","Hg","4/20/05"
"358","155","Ptiliidae","Hg","4/20/05"
"359","155","Ptiliidae","Hg","4/20/05"
"360","155","Ptiliidae","Hg","4/20/05"
"361","155","Ptiliidae","Hg","4/5/05"
"362","155","Ptiliidae","Hg","5/10/05"
"363","155","Ptiliidae","Hg","5/10/05"
"364","155","Ptiliidae","Hg","5/10/05"
"365","155","Ptiliidae","Hg","5/10/05"
"366","155","Ptiliidae","Hg","5/10/05"
"367","155","Ptiliidae","Hg","5/13/05"
"368","155","Ptiliidae","Hg","5/18/05"
"369","155","Ptiliidae","Hg","5/18/05"
"370","155","Ptiliidae","Hg","5/18/05"
"371","155","Ptiliidae","Hg","5/18/05"
"372","155","Ptiliidae","Hg","5/18/05"
"373","155","Ptiliidae","Hg","11/18/05"
"374","155","Ptiliidae","Hg","11/25/05"
"375","155","Ptiliidae","Hg","11/25/05"
"376","155","Ptiliidae","Hg","11/25/05"
"377","155","Ptiliidae","Na","3/16/05"
"378","155","Ptiliidae","Na","4/12/05"
"379","155","Ptiliidae","Na","4/13/05"
"380","155","Ptiliidae","Na","4/13/05"
"381","155","Ptiliidae","Na","4/13/05"
"382","155","Ptiliidae","Na","4/19/05"
"383","155","Ptiliidae","Na","4/5/05"
"384","155","Ptiliidae","Na","4/6/05"
"385","155","Ptiliidae","Na","5/3/05"
"386","155","Ptiliidae","Na","5/4/05"
"387","155","Ptiliidae","Na","5/4/05"
"388","155","Ptiliidae","Na","11/18/05"
"389","155","Ptiliidae","Na_F","4/13/05"
"390","155","Ptiliidae","Na_F","5/18/05"
"391","156","Ptiliidae","Hg","3/31/05"
"392","156","Ptiliidae","Hg","4/13/05"
"393","156","Ptiliidae","Hg","4/5/05"
"394","156","Ptiliidae","Hg","4/6/05"
"395","156","Ptiliidae","Hg","5/17/05"
"396","156","Ptiliidae","Hg","10/28/05"
"397","156","Ptiliidae","Hg","11/17/05"
"398","156","Ptiliidae","Na","5/10/05"
"399","156","Ptiliidae","Na","5/10/05"
"400","156","Ptiliidae","Na","5/10/05"
"401","156","Ptiliidae","Na","5/10/05"
"402","156","Ptiliidae","Na","5/10/05"
"403","156","Ptiliidae","Na","5/10/05"
"404","156","Ptiliidae","Na","5/10/05"
"405","156","Ptiliidae","Na","5/10/05"
"406","156","Ptiliidae","Na","5/10/05"
"407","156","Ptiliidae","Na","5/10/05"
"408","156","Ptiliidae","Na","5/10/05"
"409","156","Ptiliidae","Na","5/10/05"
"410","156","Ptiliidae","Na","5/13/05"
"411","157","Ptiliidae","Hg","4/13/05"
"412","157","Ptiliidae","Hg","6/1/05"
"413","157","Ptiliidae","Na","5/18/05"
"414","158","Ptiliidae","Control","4/12/05"
"415","158","Ptiliidae","Na","11/4/05"
"416","159","Staphylinidae","Hg","6/7/05"
"417","159","Staphylinidae","Na","6/1/05"
"418","16","Staphylinidae","Hg","4/5/05"
"419","16","Staphylinidae","Hg","5/18/05"
"420","16","Staphylinidae","Hg","6/1/05"
"421","16","Staphylinidae","Hg","11/24/05"
"422","16","Staphylinidae","Na","11/25/05"
"423","160","Staphylinidae","Hg","4/19/05"
"424","161","Staphylinidae","Hg","3/16/05"
"425","162","Staphylinidae","Hg","3/18/05"
"426","162","Staphylinidae","Hg","3/23/05"
"427","162","Staphylinidae","Hg","11/17/05"
"428","17","Staphylinidae","Hg","3/31/05"
"429","17","Staphylinidae","Hg","4/6/05"
"430","18","Staphylinidae","Na","4/19/05"
"431","19","Staphylinidae","Hg","5/18/05"
"432","2","Dytiscidae","Hg","3/16/05"
"433","2","Dytiscidae","Hg","12/2/05"
"434","20","Staphylinidae","Na_F","4/13/05"
"435","201","Staphylinidae","Hg","12/1/05"
"436","203","Staphylinidae","Hg","12/2/05"
"437","204","Staphylinidae","Hg","10/28/05"
"438","205","Staphylinidae","Na","10/28/05"
"439","206","Staphylinidae","Hg","10/28/05"
"440","206","Staphylinidae","Hg","12/2/05"
"441","207","Staphylinidae","Na_F","11/24/05"
"442","208","Staphylinidae","Hg","12/2/05"
"443","209","Staphylinidae","Control","12/2/05"
"444","21","Staphylinidae","Na","4/13/05"
"445","210","Staphylinidae","Hg","11/25/05"
"446","212","Staphylinidae","Hg","11/25/05"
"447","212","Staphylinidae","Hg","11/25/05"
"448","212","Staphylinidae","Na","11/8/05"
"449","212","Staphylinidae","Control","11/22/05"
"450","213","Staphylinidae","Hg","11/25/05"
"451","215","Staphylinidae","Hg","11/25/05"
"452","219","Staphylinidae","Na","11/25/05"
"453","219","Staphylinidae","Control","12/2/05"
"454","22","Staphylinidae","Control","4/13/05"
"455","22","Staphylinidae","Hg","3/24/05"
"456","22","Staphylinidae","Hg","4/12/05"
"457","22","Staphylinidae","Hg","4/12/05"
"458","22","Staphylinidae","Hg","4/13/05"
"459","22","Staphylinidae","Hg","4/13/05"
"460","22","Staphylinidae","Hg","4/13/05"
"461","22","Staphylinidae","Hg","4/13/05"
"462","22","Staphylinidae","Hg","4/13/05"
"463","22","Staphylinidae","Hg","4/13/05"
"464","22","Staphylinidae","Hg","4/19/05"
"465","22","Staphylinidae","Hg","4/6/05"
"466","22","Staphylinidae","Hg","5/13/05"
"467","22","Staphylinidae","Hg","5/13/05"
"468","22","Staphylinidae","Hg","5/13/05"
"469","22","Staphylinidae","Hg","5/17/05"
"470","22","Staphylinidae","Hg","5/17/05"
"471","22","Staphylinidae","Hg","5/18/05"
"472","22","Staphylinidae","Hg","5/18/05"
"473","22","Staphylinidae","Hg","5/18/05"
"474","22","Staphylinidae","Hg","5/18/05"
"475","22","Staphylinidae","Hg","11/18/05"
"476","22","Staphylinidae","Hg","11/25/05"
"477","22","Staphylinidae","Hg","11/25/05"
"478","22","Staphylinidae","Hg","11/25/05"
"479","22","Staphylinidae","Hg","12/2/05"
"480","22","Staphylinidae","Hg","12/2/05"
"481","22","Staphylinidae","Hg","12/2/05"
"482","22","Staphylinidae","Na","3/24/05"
"483","22","Staphylinidae","Na","4/12/05"
"484","22","Staphylinidae","Na","4/13/05"
"485","22","Staphylinidae","Na","4/13/05"
"486","22","Staphylinidae","Na","4/13/05"
"487","22","Staphylinidae","Na","4/13/05"
"488","22","Staphylinidae","Na","4/13/05"
"489","22","Staphylinidae","Na","5/18/05"
"490","22","Staphylinidae","Na","5/18/05"
"491","22","Staphylinidae","Na","12/2/05"
"492","22","Staphylinidae","Na_F","12/2/05"
"493","22","Staphylinidae","Control","11/8/05"
"494","22","Staphylinidae","Control","12/2/05"
"495","222","Staphylinidae","Na_F","11/29/05"
"496","225","Staphylinidae","Na","11/12/05"
"497","226","Staphylinidae","Hg","11/24/05"
"498","226","Staphylinidae","Hg","11/25/05"
"499","227","Staphylinidae","Control","11/22/05"
"500","228","Staphylinidae","Na","12/1/05"
"501","229","Staphylinidae","Hg","11/17/05"
"502","229","Staphylinidae","Na","11/4/05"
"503","229","Staphylinidae","Na","12/2/05"
"504","229","Staphylinidae","Control","11/25/05"
"505","23","Staphylinidae","Hg","4/13/05"
"506","23","Staphylinidae","Hg","4/13/05"
"507","23","Staphylinidae","Hg","11/24/05"
"508","23","Staphylinidae","Hg","11/25/05"
"509","23","Staphylinidae","Na","4/12/05"
"510","23","Staphylinidae","Na","4/12/05"
"511","23","Staphylinidae","Na","4/13/05"
"512","23","Staphylinidae","Na","4/13/05"
"513","23","Staphylinidae","Na","4/13/05"
"514","23","Staphylinidae","Na","5/18/05"
"515","23","Staphylinidae","Na","11/25/05"
"516","230","Staphylinidae","Na","11/25/05"
"517","230","Staphylinidae","Na","11/8/05"
"518","230","Staphylinidae","Na_F","11/17/05"
"519","230","Staphylinidae","Control","11/17/05"
"520","230","Staphylinidae","Control","11/8/05"
"521","232","Staphylinidae","Hg","11/22/05"
"522","235","Staphylinidae","Na","11/18/05"
"523","236","Scydmaeninae","Hg","10/28/05"
"524","236","Scydmaeninae","Na","11/18/05"
"525","236","Scydmaeninae","Na","11/29/05"
"526","237","Curculionidae","Na_F","11/24/05"
"527","237","Curculionidae","Na_F","11/24/05"
"528","237","Curculionidae","Na_F","11/24/05"
"529","239","Curculionidae","Na","11/29/05"
"530","24","Staphylinidae","Hg","4/13/05"
"531","24","Staphylinidae","Hg","5/10/05"
"532","24","Staphylinidae","Hg","5/10/05"
"533","24","Staphylinidae","Hg","6/1/05"
"534","24","Staphylinidae","Hg","6/1/05"
"535","24","Staphylinidae","Hg","6/7/05"
"536","24","Staphylinidae","Na","4/19/05"
"537","243","Curculionidae","Na_F","11/22/05"
"538","244","Curculionidae","Na_F","11/8/05"
"539","246","Curculionidae","Hg","11/25/05"
"540","247","Scolytinae","Na","11/24/05"
"541","249","Scolytinae","Hg","11/22/05"
"542","25","Staphylinidae","Hg","4/5/05"
"543","25","Staphylinidae","Hg","12/1/05"
"544","25","Staphylinidae","Na","3/16/05"
"545","25","Staphylinidae","Na","4/20/05"
"546","25","Staphylinidae","Na_F","3/16/05"
"547","250","Scolytinae","Na","11/22/05"
"548","251","Scolytinae","Hg","12/1/05"
"549","253","Scolytinae","Na","12/2/05"
"550","257","Scolytinae","Hg","11/18/05"
"551","257","Scolytinae","Na","11/17/05"
"552","26","Staphylinidae","Hg","3/16/05"
"553","26","Staphylinidae","Hg","4/6/05"
"554","26","Staphylinidae","Hg","11/12/05"
"555","26","Staphylinidae","Hg","11/22/05"
"556","26","Staphylinidae","Hg","11/29/05"
"557","26","Staphylinidae","Hg","12/1/05"
"558","26","Staphylinidae","Hg","12/1/05"
"559","26","Staphylinidae","Hg","12/2/05"
"560","26","Staphylinidae","Na","4/20/05"
"561","260","Cerambycidae","Hg","11/25/05"
"562","263","Bostrichidae","Control","11/24/05"
"563","264","Chrysomelidae","Na_F","12/1/05"
"564","265","Chrysomelidae","Na_F","11/4/05"
"565","266","Chrysomelidae","Hg","11/29/05"
"566","267","Chrysomelidae","Na","11/22/05"
"567","268","Chrysomelidae","Hg","12/2/05"
"568","27","Staphylinidae","Hg","4/13/05"
"569","27","Staphylinidae","Na","3/18/05"
"570","270","Tenebrionidae","Hg","11/24/05"
"571","270","Tenebrionidae","Hg","11/25/05"
"572","271","Tenebrionidae","Hg","11/18/05"
"573","271","Tenebrionidae","Na","11/24/05"
"574","271","Tenebrionidae","Na","11/25/05"
"575","271","Tenebrionidae","Na","11/29/05"
"576","271","Tenebrionidae","Na","12/1/05"
"577","272","Tenebrionidae","Hg","10/28/05"
"578","272","Tenebrionidae","Na","10/28/05"
"579","274","Tenebrionidae","Hg","11/29/05"
"580","277","Carabidae","Hg","11/4/05"
"581","278","Carabidae","Hg","11/25/05"
"582","279","Carabidae","Hg","11/25/05"
"583","28","Staphylinidae","Hg","3/24/05"
"584","28","Staphylinidae","Hg","3/31/05"
"585","28","Staphylinidae","Hg","4/13/05"
"586","28","Staphylinidae","Hg","4/19/05"
"587","28","Staphylinidae","Hg","4/20/05"
"588","28","Staphylinidae","Hg","4/20/05"
"589","28","Staphylinidae","Hg","5/11/05"
"590","28","Staphylinidae","Hg","5/13/05"
"591","28","Staphylinidae","Hg","5/17/05"
"592","28","Staphylinidae","Hg","5/17/05"
